parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
a_w[1],-0.1933538700923867,0.7969536895636683,0.02520188848695954,0.02923119506258778,906.2583485352046,1.001503326752323,0.006709232149577346
a_w[2],0.181708190869071,0.8134315495825895,0.0257229641732117,0.03539518098655792,657.3243232553142,1.0030922031703786,0.0048663181855503855
a_w[3],0.007898049971983524,0.756123750256072,0.023910732437575116,0.035268854662945055,675.5060076142094,1.006387915113914,0.005000921239338892
a_w[4],0.004992268899037828,0.7583866596183381,0.02398229191480791,0.022120250362776605,871.1815103727358,0.9998024868900189,0.006449550513887548
a_w[5],-0.05710519371417503,0.7621870879540628,0.024102472011059244,0.029092872943290354,851.644985031477,1.0036557656603557,0.006304917270924915
a_w[6],0.090032867932454,0.8068081888631481,0.025513515116828436,0.029741184062553383,500.6104206187127,1.0050051987540103,0.0037061303036349707
b_w[1],0.0010719019674559278,0.42372055293682226,0.013399220387063062,0.006918613022040329,1790.8546205333098,0.9971891615170873,0.013258095127864605
b_w[2],-0.017276951395055837,0.43372928124378046,0.013715724166380951,0.012012568015474106,1505.0699164270195,0.9983313821716788,0.01114236739112543
b_w[3],-0.08104699800515194,0.4323856960744279,0.013673236272725178,0.013774107549316737,1117.0673774782858,1.0014393139468065,0.00826989828489313
b_w[4],0.06938135279550416,0.41134522056137773,0.013007878015982794,0.012930809257847453,1163.472586713524,0.9975554683760742,0.008613446371608303
b_w[5],0.026374536890720657,0.3961894446880777,0.012528610301316238,0.012221353426742144,1365.6449216452274,0.9975314037562609,0.010110173139942414
b_w[6],0.1010641931735878,0.4275786985699592,0.013521225664516514,0.011157373725552627,1340.273827558863,0.9999905695575808,0.009922345286671526
σ_w[1],0.25328959511582205,0.22797715710777944,0.007209270709506278,0.013684158980960502,352.5801073709722,1.0182222145927742,0.0026102289656125214
σ_w[2],0.3605901565120364,0.3212611512277486,0.010159169616074848,0.019071522036279417,400.5812480520392,1.0140322960180401,0.00296559208783295
σ_w[3],0.33836192838420925,0.3030820722297147,0.009584296662095659,0.014552433621917204,407.7142391900421,1.0018931693568927,0.0030183992079473097
σ_w[4],0.5175029645456827,0.3693369635635121,0.011679460289513171,0.013097992179338023,445.5018452473126,1.0022706808726034,0.0032981492613672636
σ_w[5],0.25276930853461776,0.256918619080833,0.008124480096006277,0.017399766347058174,246.4066287997901,1.009429943630672,0.0018242030856704462
σ_w[6],0.4899199355839908,0.3335628788865613,0.010548184401644236,0.018596428860760076,295.87850792802817,1.022460136057623,0.0021904544117781312
σ_w[7],1.008596754708538,1.060224574226099,0.03352724485836724,0.027763322915964884,1291.198415849016,0.9984988853866763,0.009559029097055579
σ_w[8],0.9998874533166878,0.9682125106800678,0.030617567928191168,0.018453532292959297,2439.0333524181997,0.9977336473284176,0.01805670646608109
σ_w[9],0.9857104087610795,0.9732092239153837,0.03077557787457424,0.027267390318578683,1276.3979770402225,1.000031122508092,0.009449458156225839
σ_w[10],0.9928848927774729,0.9648327867531312,0.030510691673474286,0.026218046949019372,1906.763602019416,0.9987909303916523,0.014116195101529169
σ_w[11],1.0120055570130315,0.9713205411606252,0.030715852481749056,0.02234069216569389,1755.7202153154685,0.9989753299106559,0.012997987310458209
σ_w[12],1.0398093591227884,0.9725971845595921,0.030756223490754606,0.02000869969862457,1942.502289093206,0.9971862721407269,0.014380776551936455
ρ_w_1[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_1[2,1],0.049642471427056495,0.46132244812171697,0.014588296718294915,0.01338907799671491,839.9307199839191,1.0018405861834867,0.0062181939609628305
ρ_w_1[1,2],0.049642471427056495,0.46132244812171697,0.014588296718294915,0.01338907799671491,839.9307199839191,1.0018405861834867,0.0062181939609628305
ρ_w_1[2,2],1.0,8.117048000820606e-17,2.566835955950941e-18,0.0,1095.638361241644,0.9959919678390986,0.00811125451085113
ρ_w_2[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_2[2,1],-0.09236784206354445,0.4310225154409864,0.013630128716086118,0.015295499675329305,885.4444553358348,1.0032267265546613,0.006555142268213173
ρ_w_2[1,2],-0.09236784206354445,0.4310225154409864,0.013630128716086118,0.015295499675329305,885.4444553358348,1.0032267265546613,0.006555142268213173
ρ_w_2[2,2],1.0,8.654098445213967e-17,2.736666218219803e-18,0.0,1072.3464881037196,0.9959919678390985,0.00793881959278012
ρ_w_3[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_3[2,1],-0.07112597620739036,0.43508854912345146,0.01375870799088163,0.020101745987363365,604.9634825629191,1.0052627446362763,0.004478679234339479
ρ_w_3[1,2],-0.07112597620739036,0.43508854912345146,0.01375870799088163,0.020101745987363365,604.9634825629191,1.0052627446362763,0.004478679234339479
ρ_w_3[2,2],1.0,8.319723945529029e-17,2.6309277171714378e-18,0.0,974.9274732667157,0.9959919678390986,0.007217604955275249
ρ_w_4[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_4[2,1],-0.18180120974234518,0.441312592747981,0.013955529531979262,0.013868272400143345,838.0579540677419,1.0003323621958946,0.006204329458292309
ρ_w_4[1,2],-0.18180120974234518,0.441312592747981,0.013955529531979262,0.013868272400143345,838.0579540677419,1.0003323621958946,0.006204329458292309
ρ_w_4[2,2],1.0,7.94031873181442e-17,2.510949254023326e-18,0.0,921.1222561418809,0.9959919678390986,0.006819272964036322
ρ_w_5[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_5[2,1],-0.022703129151627456,0.4405081908891869,0.013930092111700638,0.017922704543989552,807.657968081459,0.9981848646850914,0.005979271599619301
ρ_w_5[1,2],-0.022703129151627456,0.4405081908891869,0.013930092111700638,0.017922704543989552,807.657968081459,0.9981848646850914,0.005979271599619301
ρ_w_5[2,2],1.0,8.604053672779705e-17,2.7208406716320955e-18,0.0,1044.7090541451362,0.9959919678390985,0.007734213521292386
ρ_w_6[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_6[2,1],-0.13336890846440133,0.42178084460260673,0.01333788142373774,0.016968056486747082,771.9409245499164,1.0025730313568686,0.005714850381169835
ρ_w_6[1,2],-0.13336890846440133,0.42178084460260673,0.01333788142373774,0.016968056486747082,771.9409245499164,1.0025730313568686,0.005714850381169835
ρ_w_6[2,2],1.0,8.349331597629215e-17,2.640290478852083e-18,0.0,939.0665630110178,0.9959919678390986,0.006952118659463996
ab_w_1[1,1],-0.10754338882398486,0.8046408047132204,0.025444976412045243,0.03116296237948761,869.4895534037184,1.004664152904565,0.006437024580073442
ab_w_1[2,1],0.04445873481523528,0.44893772274363464,0.014196657314390616,0.009551957636400505,2004.7238369309223,0.9981099796242181,0.01484141651163891
ab_w_1[1,2],-0.30058632368042554,0.8100992031433111,0.025617586126202983,0.03236038247047428,832.39099693188,1.0052850460065033,0.0061623757140121535
ab_w_1[2,2],-0.04721144099892006,0.4535621720415335,0.014342895241443884,0.00883285855636215,1932.6780723671275,0.9978175375005363,0.01430804569013578
ab_w_2[1,1],0.32806591044224737,0.8334254810132589,0.026355227800233146,0.03883222885112958,550.4207146172837,1.0061236712106094,0.004074886990307447
ab_w_2[2,1],-0.09203258529972902,0.4930597226115381,0.015591917459432848,0.011585352681229412,1565.6694287166042,0.9980106534507209,0.011590999060846478
ab_w_2[1,2],0.05270095982581346,0.8311696805645142,0.026283893126584513,0.03898702608581387,567.1983550197978,1.0049545021017237,0.004199095594360072
ab_w_2[2,2],0.05538275202135019,0.5009237127802524,0.01584059866373594,0.010736439017843472,1602.7027885786847,0.9965392119039467,0.011865165261902871
ab_w_3[1,1],0.11945548832869414,0.7888782629387905,0.02494652107483774,0.04258120703840381,474.9763374847152,1.0090233391685963,0.0035163554839430632
ab_w_3[2,1],-0.16555048016721866,0.4687055567654487,0.014821771113561607,0.015520709243462046,990.1515573173131,1.0021234210501349,0.007330312236069108
ab_w_3[1,2],-0.10305527847195915,0.7826440946707376,0.024749379364399797,0.0423180245454174,462.7115567537024,1.0086088291816526,0.00342555658391524
ab_w_3[2,2],-0.0369336523833669,0.4680987059173377,0.01480258080476125,0.015862913976401556,1030.9311051359525,1.0025190307609542,0.007632212299899984
ab_w_4[1,1],0.22115010411786265,0.7970893875033388,0.025206179632591048,0.023203722489135742,890.0123153818832,1.0003133730603508,0.006588959152245472
